azon;cim;ev;dij;jelol
sons88;Dangerous Liaisons;1988;3;7
Sun51;A Place in the Sun;1951;6;9
t II74;The Godfather Part II;1974;6;11
tain05;Brokeback Mountain;2005;3;8
ters86;Hannah and Her Sisters;1986;3;7
Tess80;Tess;1980;3;6
teur36;The Story of Louis Pasteur;1936;3;4
ther72;The Godfather;1972;3;10
ting73;The Sting;1973;7;10
tion10;Inception;2010;4;8
tion71;The French Connection;1971;5;8
tist11;The Artist;2011;5;10
toon86;Platoon;1986;4;8
tory61;West Side Story;1961;10;11
trix99;The Matrix;1999;4;4
tton08;The Curious Case of Benjamin Button;2008;3;13
tton70;Patton;1970;7;10
ttoo55;The Rose Tattoo;1955;3;8
tuff83;The Right Stuff;1983;4;8
ulia77;Julia;1977;3;11
usic65;The Sound of Music;1965;5;10
vago65;Doctor Zhivago;1965;5;10
vard50;Sunset Boulevard;1950;3;11
ver!68;Oliver!;1968;5;11
View86;A Room with a View;1986;3;8
vity13;Gravity;2013;7;10
Wars77;Star Wars;1977;6;10
wboy69;Midnight Cowboy;1969;3;7
Wind39;Gone with the Wind;1939;8;13
work10;The Social Network;2010;3;8
work76;Network;1976;4;10
Zola37;The Life of Emile Zola;1937;3;10
